product_name,category_shelf,match_key
AZILEX 250MG TAB,Other / uncategorised,azilex 250mg tab
AZILEX SUSP,Prescription medicine,azilex susp
AZITHRO 500MG TABS VEGA UK 3'S,Other / uncategorised,azithro 500mg tabs vega uk 3's
AZITHROMAYCIN (AZITHRO-DENK) 500MG 3'S,Prescription medicine,azithromaycin (azithro-denk) 500mg 3's
AZITHROMYCIN (AZITHRO DENK) 250MG TABS 6'S,Prescription medicine,azithromycin (azithro denk) 250mg tabs 6's
AZITHROMYCIN 250MG TAB VEGA,OTC,azithromycin 250mg tab vega
AZITHROMYCIN 250MG TABS TEVA 4'S,Prescription medicine,azithromycin 250mg tabs teva 4's
AZITHROMYCIN 250MG TABS UK 4'S,Prescription medicine,azithromycin 250mg tabs uk 4's
AZITHROMYCIN 500MG TABS UK,OTC,azithromycin 500mg tabs uk
AZITHROMYCIN 500MG TEVA CAP,Prescription medicine,azithromycin 500mg teva cap
AZITHROMYCIN SUSP 200MG/5ML (SANDOZ) 15ML,OTC,azithromycin susp 200mg/5ml (sandoz) 15ml
AZITHROMYCIN SUSP 200MG/5ML VEGA,Prescription medicine,azithromycin susp 200mg/5ml vega
AZO BORIC ACID VAGINAL SUPP 30'S,Other / uncategorised,azo boric acid vaginal supp 30's
AZO CRANBERRY 50'S CAPLET,OTC,azo cranberry 50's caplet
AZO CRANBERRY GUMMIES 40',OTC,azo cranberry gummies 40'
AZO CRANBERRY SOFTGEL 100'S CAPS,OTC,azo cranberry softgel 100's caps
AZO URINARY PAIN RELIEF 24'S,Other / uncategorised,azo urinary pain relief 24's
AZO URINARY TRACK DEFENSE 24'S,Other / uncategorised,azo urinary track defense 24's
AZO YEAST PLUS 60'S,Other / uncategorised,azo yeast plus 60's
AZOMAX 500MG TAB 3'S,OTC,azomax 500mg tab 3's
AZOMAX SUSP 200MG/5ML (AZITHROMYCIN SUSP ) 22.5ML,Prescription medicine,azomax susp 200mg/5ml (azithromycin susp ) 22.5ml
AZOPT EYE DROP 1% (BRINZOLAMIDE 10MG/ML),Pharmacy medicine,azopt eye drop 1% (brinzolamide 10mg/ml)
B CLAR CLARITHROMIYCIN 500MG,Other / uncategorised,b clar clarithromiycin 500mg
B-CO TABS 500( BLISTERS),OTC,b-co tabs 500( blisters)
BABY COUGH LINCTUS 100ML,Pharmacy medicine,baby cough linctus 100ml
BACLOFEN 10MG TABS 84'S UK,Prescription medicine,baclofen 10mg tabs 84's uk
BACLOFEN SYRUP 300ML,OTC,baclofen syrup 300ml
BACTROBAN (MUPIRICIN) 2% CREAM 15G GSK,Other / uncategorised,bactroban (mupiricin) 2% cream 15g gsk
BACTROBAN OINTMENT,OTC,bactroban ointment
BANANA BOAT BABY SUNSCREEN SPF 50,Other / uncategorised,banana boat baby sunscreen spf 50
BANANA BOAT KIDS SUNSCREEN SPF 50 SPRAY 141G,Other / uncategorised,banana boat kids sunscreen spf 50 spray 141g
BASEBOOM JELLY,OTC,baseboom jelly
BASIC NUTRITION CHARCOAL TABS,Other / uncategorised,basic nutrition charcoal tabs
BB COCKTAIL,Other / uncategorised,bb cocktail
BC 56 CREAM,OTC,bc 56 cream
